"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 16 15:52:24 MSK 2025","Tue Sep 16 15:58:00 MSK 2025","335732","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","operationTests","operationTests()","Добавить и удалить операцию"
"broken","Tue Sep 16 21:50:42 MSK 2025","Tue Sep 16 21:54:22 MSK 2025","219693","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingOnlineConsultationWithVideo","addingOnlineConsultationWithVideo()","Добавление онлайн-консультации с видеозвонком"
"skipped","Tue Sep 16 21:42:09 MSK 2025","Tue Sep 16 21:42:09 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup59","checkup59()","Checkup 59 y.o. user"
"broken","Tue Sep 16 17:46:59 MSK 2025","Tue Sep 16 17:53:43 MSK 2025","404672","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","addInsuranceAV","addInsuranceAV()","Добавление добровольного медицинского страхования для взрослого"
"broken","Tue Sep 16 18:09:33 MSK 2025","Tue Sep 16 18:15:00 MSK 2025","327518","","MobileTesting.tests.EdnaChatTest","","MobileTesting.tests.EdnaChatTest","ednaChatInsurancePoliciesTest","ednaChatInsurancePoliciesTest()","Тест проверки функциональности добавления страховых полисов в чате Edna"
"failed","Tue Sep 16 18:21:13 MSK 2025","Tue Sep 16 18:26:33 MSK 2025","319579","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","editConclusionRemoveRequiredFields","editConclusionRemoveRequiredFields()","Редактирование заключения - удаление обязательных полей"
"broken","Tue Sep 16 19:57:30 MSK 2025","Tue Sep 16 20:04:14 MSK 2025","404498","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","cancelRegistrationBeforeConsultation","cancelRegistrationBeforeConsultation()","Отмена записи до начала консультации"
"skipped","Tue Sep 16 21:42:09 MSK 2025","Tue Sep 16 21:42:09 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup18","checkup18()","Checkup 18 y.o. user"
"broken","Tue Sep 16 15:58:00 MSK 2025","Tue Sep 16 16:03:10 MSK 2025","309946","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","instrumentalDiagnosticsTests","instrumentalDiagnosticsTests()","Добавить, редактировать, удалить инструментальную диагностику"
"broken","Tue Sep 16 18:31:58 MSK 2025","Tue Sep 16 19:51:59 MSK 2025","4801136","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","successfulRegistration","successfulRegistration()","Успешная запись к тестовому врачу на прием"
"skipped","Tue Sep 16 21:42:09 MSK 2025","Tue Sep 16 21:42:09 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup41","checkup41()","Checkup 41 y.o. user"
"broken","Tue Sep 16 17:53:43 MSK 2025","Tue Sep 16 17:58:32 MSK 2025","288371","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","addInsuranceCV","addInsuranceCV()","Добавление добровольного медицинского страхования для ребенка"
"passed","Tue Sep 16 17:33:44 MSK 2025","Tue Sep 16 17:42:13 MSK 2025","509051","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","recoveryPass","recoveryPass()","Восстановление пароля"
"broken","Tue Sep 16 16:43:11 MSK 2025","Tue Sep 16 16:45:41 MSK 2025","149346","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","navigatingThroughQuestionnaireScreens","navigatingThroughQuestionnaireScreens()","Навигация по экранам опросника"
"broken","Tue Sep 16 22:08:32 MSK 2025","Tue Sep 16 22:10:57 MSK 2025","145114","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingDecipheringAnalyzesWithAudio","addingDecipheringAnalyzesWithAudio()","Добавление расшифровки анализов очно с аудиосвязью"
"failed","Tue Sep 16 16:27:56 MSK 2025","Tue Sep 16 16:32:48 MSK 2025","292465","","MobileTesting.tests.SmokeTest","","MobileTesting.tests.SmokeTest","onboarding","onboarding()","Onboarding"
"skipped","Tue Sep 16 17:01:06 MSK 2025","Tue Sep 16 17:01:06 MSK 2025","0","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","questionnaireDoesNotOpenForChildPatientOffline","questionnaireDoesNotOpenForChildPatientOffline()","Проверка, что опросник не открывается для пациентов-детей при регистрации в клиники"
"broken","Tue Sep 16 21:10:03 MSK 2025","Tue Sep 16 21:18:43 MSK 2025","519776","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","checkAddConclusionButton","checkAddConclusionButton()","Проверка появления кнопки 'Добавить заключение' после консультации"
"broken","Tue Sep 16 20:10:58 MSK 2025","Tue Sep 16 21:04:51 MSK 2025","3232386","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","fullRegistrationCycle","fullRegistrationCycle()","Полный цикл тестирования: регистрация -> проверка -> отмена"
"passed","Tue Sep 16 16:24:30 MSK 2025","Tue Sep 16 16:27:56 MSK 2025","205630","","MobileTesting.tests.SmokeTest","","MobileTesting.tests.SmokeTest","authorization","authorization()","Авторизация пользователя"
"skipped","Tue Sep 16 21:42:09 MSK 2025","Tue Sep 16 21:42:09 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup51","checkup51()","Checkup 51 y.o. user"
"broken","Tue Sep 16 15:42:23 MSK 2025","Tue Sep 16 15:47:07 MSK 2025","284375","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","allergyTests","allergyTests()","Добавить и удалить аллергию"
"broken","Tue Sep 16 17:05:13 MSK 2025","Tue Sep 16 17:09:17 MSK 2025","244482","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","questionnaireOpensForAdultPatient","questionnaireOpensForAdultPatient()","Опросник открывается для взрослого пациента при регистрации на онлайн-консультацию"
"broken","Tue Sep 16 21:45:48 MSK 2025","Tue Sep 16 21:50:42 MSK 2025","293997","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingOnlineConsultationWithAudio","addingOnlineConsultationWithAudio()","Добавление онлайн-консультации с аудио"
"skipped","Tue Sep 16 21:42:09 MSK 2025","Tue Sep 16 21:42:09 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup27","checkup27()","Checkup 27 y.o. user"
